menu,selectDb,createTable,tableList,manageDataBlock,createDataBlock,dataBlockList,tableName,columnName,columnType,createNewTableFailed,deleteConfirmMsg,failedToDeleteTableMsg,name,description,mainTable,mainColumn,required,optional,save,select,missingRequiredMsg,failedMsg,deleteMsg,editDataBlock,srcTable,mainRefColumn,srcTableColumn,refTable,refTableColumn,refTableDisplayColumn,dataType,dataBlock,requiredField,dataLengthLimit
Data Management Menu,Select Database,Create Table,Table List,Manage Data Block,Create Data Block,Data Block List,Table Name,Column Name,Column Type,Could not create a new table '$1',Do you want to delete table '$1'?,Could not delete table '$1',Name,Description,Main Table,Main Column,(Required),(Optional),Save Changes,Please Select,Required Field(s) Missing,Failed,Do you want to delete '$1'?,Edit Data Block,Source Table,Source Table Main Reference Column,Source Table Column,Reference Table, Reference Table Column,Reference Table Display Column,Type,Data Block,Required Field,Data Length Limit
データ管理メニュー,データベースを選択,テーブル作成,テーブル一覧,データブロック管理,データブロック作成,データブロック一覧,テーブル,カラム,カラム・タイプ,テーブル【$1】を作成できませんでした,テーブル【$1】を削除しますか？,テーブル【$1】を削除できませんでした,名称,詳細,メイン・テーブル,メイン・カラム,（必須）,（オプション）,更新,選択してください,必須項目が抜けています,失敗しました,【$1】を削除しますか？,データブロック編集,ソース・テーブル,ソース・テーブルのメイン参照カラム,ソース・テーブルカラム,参照カラム,参照テーブルカラム,参照テーブル表示用カラム,タイプ,データブロック,必須フィールド,データサイズ限度
